,event_id,minute,second,team_id,x,y,expanded_minute,period,outcome_type,qualifiers,satisfied_events_types,is_touch,player_id,end_x,end_y,related_event_id,related_player_id,goal_mouth_z,goal_mouth_y,is_shot,blocked_x,blocked_y,card_type,is_goal,player_name,event_type,pass_recipient,team_name,match_date,match_id,match_string
0,2501036673.0,0,0.0,13,49.9,50.3,0,FirstHalf,Successful,"[{'Length': '17.4'}, {'PassEndY': '48.7'}, {'Zone': 'Back'}, {'Angle': '3.2'}, {'PassEndX': '33.4'}]","['touches', 'passAccurate', 'shortPassAccurate', 'passBack', 'passRight', 'midThird', 'pos']",True,345845.0,33.4,48.7,,,,,,,,,,Eddie Nketiah,Pass,Matt Turner,Arsenal,2023-01-27T20:00:00,1705071,Man City - Arsenal
1,2501036683.0,0,3.0,13,33.9,49.1,0,FirstHalf,Unsuccessful,"[{'Angle': '0.2'}, {'Zone': 'Center'}, {'Longball': True}, {'Length': '47.3'}, {'PassEndX': '77.8'}, {'PassEndY': '64.7'}]","['touches', 'passInaccurate', 'passLongBallInaccurate', 'passForward', 'passLeft', 'finalThird', 'pos']",True,319712.0,77.8,64.7,,,,,,,,,,Matt Turner,Pass,,Arsenal,2023-01-27T20:00:00,1705071,Man City - Arsenal
2,2501036693.0,0,7.0,167,22.5,30.1,0,FirstHalf,Unsuccessful,"[{'HeadPass': True}, {'PassEndX': '37.7'}, {'Angle': '0.3'}, {'Length': '16.5'}, {'PassEndY': '36.1'}, {'Zone': 'Back'}]","['touches', 'passBackZoneInaccurate', 'passInaccurate', 'shortPassInaccurate', 'passHead', 'passForward', 'passLeft', 'midThird', 'pos']",True,303139.0,37.7,36.1,,,,,,,,,,Rodri,Pass,,Man City,2023-01-27T20:00:00,1705071,Man City - Arsenal
3,2501036705.0,0,9.0,13,63.4,60.5,0,FirstHalf,Successful,[{'Zone': 'Center'}],['touches'],True,238940.0,,,,,,,,,,,,Thomas Partey,BallTouch,,Arsenal,2023-01-27T20:00:00,1705071,Man City - Arsenal
4,2501036723.0,0,11.0,13,58.1,67.4,0,FirstHalf,Successful,"[{'Angle': '1.5'}, {'PassEndY': '86.6'}, {'Zone': 'Left'}, {'Length': '13.1'}, {'PassEndX': '58.8'}]","['touches', 'passForwardZoneAccurate', 'passAccurate', 'shortPassAccurate', 'passForward', 'passLeft', 'midThird', 'pos']",True,288795.0,58.8,86.6,,,,,,,,,,Rob Holding,Pass,Kieran Tierney,Arsenal,2023-01-27T20:00:00,1705071,Man City - Arsenal
5,2501036733.0,0,13.0,13,55.8,86.4,0,FirstHalf,Successful,"[{'Zone': 'Back'}, {'Length': '23.5'}, {'PassEndX': '35.2'}, {'Angle': '3.5'}, {'PassEndY': '72.8'}]","['touches', 'passAccurate', 'shortPassAccurate', 'passBack', 'passRight', 'midThird', 'pos']",True,297403.0,35.2,72.8,,,,,,,,,,Kieran Tierney,Pass,Gabriel Magalhães,Arsenal,2023-01-27T20:00:00,1705071,Man City - Arsenal
6,2501036749.0,0,15.0,13,34.4,71.4,0,FirstHalf,Successful,"[{'PassEndX': '14.2'}, {'Length': '25.7'}, {'Angle': '3.7'}, {'Zone': 'Back'}, {'PassEndY': '50.1'}]","['touches', 'passAccurate', 'shortPassAccurate', 'passBack', 'passRight', 'defensiveThird', 'pos']",True,334087.0,14.2,50.1,,,,,,,,,,Gabriel Magalhães,Pass,Matt Turner,Arsenal,2023-01-27T20:00:00,1705071,Man City - Arsenal
7,2501036757.0,0,19.0,13,13.8,45.5,0,FirstHalf,Unsuccessful,"[{'Zone': 'Back'}, {'PassEndX': '43.3'}, {'Angle': '6.0'}, {'PassEndY': '30.1'}, {'Chipped': True}, {'Longball': True}, {'Length': '32.7'}]","['touches', 'passBackZoneInaccurate', 'passInaccurate', 'passChipped', 'passLongBallInaccurate', 'passForward', 'passRight', 'midThird', 'pos']",True,319712.0,43.3,30.1,,,,,,,,,,Matt Turner,Pass,,Arsenal,2023-01-27T20:00:00,1705071,Man City - Arsenal
8,2501036765.0,0,20.0,167,55.4,71.4,0,FirstHalf,Successful,"[{'Head': True}, {'Zone': 'Center'}]","['touches', 'interceptionAll', 'interceptionWon']",True,77464.0,,,,,,,,,,,,Ilkay Gündogan,Interception,,Man City,2023-01-27T20:00:00,1705071,Man City - Arsenal
9,2501036779.0,0,21.0,167,44.4,73.4,0,FirstHalf,Unsuccessful,"[{'HeadPass': True}, {'Length': '17.7'}, {'Zone': 'Center'}, {'PassEndX': '61.2'}, {'PassEndY': '71.9'}, {'Angle': '6.2'}]","['touches', 'passInaccurate', 'shortPassInaccurate', 'passHead', 'passForward', 'passRight', 'midThird', 'pos']",True,297390.0,61.2,71.9,,,,,,,,,,Manuel Akanji,Pass,,Man City,2023-01-27T20:00:00,1705071,Man City - Arsenal
