,playerId,playerName,minutes,fouls_commited,fouls_won,yc,rc,ycrc,minutes_90,fouls_per_90,cards,cards_per_fouls
0,1021586,Gabriel Martinelli,1866,24,20,1,0,1,20.733333333333334,1.157556270096463,3,0.125
1,1021929,Jacob Ramsey,2476,32,44,6,0,0,27.511111111111113,1.1631663974151858,6,0.1875
2,1029063,Michael Olise,1137,16,27,4,0,0,12.633333333333333,1.266490765171504,4,0.25
3,1077907,Brandon Williams,2123,23,44,8,0,0,23.58888888888889,0.9750353273669335,8,0.34782608695652173
4,1077975,Armando Broja,1978,29,26,2,0,0,21.977777777777778,1.319514661274014,2,0.06896551724137931
5,109491,Jay Rodriguez,1374,31,16,3,0,0,15.266666666666667,2.0305676855895194,3,0.0967741935483871
6,1120224,Tyrick Mitchell,3102,16,14,1,0,0,34.46666666666667,0.46421663442940037,1,0.0625
7,113836,Danny Welbeck,1477,17,13,0,0,0,16.41111111111111,1.0358835477318888,0,0.0
8,115067,Nemanja Matic,1382,26,3,3,0,0,15.355555555555556,1.6931982633863965,3,0.11538461538461539
9,127130,Jonjo Shelvey,1985,18,8,5,0,1,22.055555555555557,0.8161209068010075,7,0.3888888888888889
10,129915,Johann Berg Gudmundsson,1104,16,14,2,0,0,12.266666666666667,1.3043478260869565,2,0.125
11,146830,Joel Ward,2486,22,21,8,0,0,27.622222222222224,0.7964601769911505,8,0.36363636363636365
12,148302,Cheikhou Kouyaté,1978,29,21,3,0,0,21.977777777777778,1.319514661274014,3,0.10344827586206896
13,148315,Christian Benteke,1136,16,16,3,0,0,12.622222222222222,1.267605633802817,3,0.1875
14,150565,Pierre-Emerick Aubameyang,1039,15,8,3,0,0,11.544444444444444,1.2993262752646777,3,0.2
15,150591,Liam Cooper,1815,19,9,5,0,0,20.166666666666668,0.9421487603305785,5,0.2631578947368421
16,154280,Jordan Ayew,2023,38,66,2,0,0,22.477777777777778,1.6905585763717252,2,0.05263157894736842
17,155782,Aaron Cresswell,2728,14,10,3,0,0,30.31111111111111,0.4618768328445748,3,0.21428571428571427
18,156008,Jordan Henderson,2603,23,7,3,0,0,28.92222222222222,0.7952362658470995,3,0.13043478260869565
19,158545,Michail Antonio,2975,50,52,6,0,1,33.05555555555556,1.5126050420168067,8,0.16
20,159342,Mateusz Klich,2079,40,15,5,0,0,23.1,1.7316017316017316,5,0.125
21,160627,Cédric Soares,1485,15,6,3,0,0,16.5,0.9090909090909091,3,0.2
22,160713,Tom Cleverley,1623,28,19,2,0,0,18.033333333333335,1.5526802218114601,2,0.07142857142857142
23,167008,Pascal Gross,2043,15,6,1,0,0,22.7,0.6607929515418502,1,0.06666666666666667
24,169162,Craig Dawson,2754,39,12,4,1,0,30.6,1.2745098039215685,6,0.15384615384615385
25,169193,Alexandre Lacazette,1789,32,29,0,0,0,19.877777777777776,1.6098378982671884,0,0.0
26,169200,Kevin De Bruyne,2205,21,27,2,0,0,24.5,0.8571428571428571,2,0.09523809523809523
27,169719,Chris Wood,2705,33,17,1,0,0,30.055555555555557,1.097966728280961,1,0.030303030303030304
28,172949,Thiago Alcántara,1533,19,13,2,0,0,17.033333333333335,1.11545988258317,2,0.10526315789473684
29,174031,Pontus Jansson,3322,15,8,7,0,0,36.91111111111111,0.4063816977724262,7,0.4666666666666667
30,174325,Shane Duffy,1434,15,5,7,0,0,15.933333333333334,0.9414225941422594,7,0.4666666666666667
31,182223,Ashley Westwood,2289,29,22,7,0,0,25.433333333333334,1.1402359108781126,7,0.2413793103448276
32,184321,Callum Wilson,1388,27,22,4,0,0,15.422222222222222,1.7507204610951008,4,0.14814814814814814
33,185236,Joshua King,2249,43,21,5,0,0,24.988888888888887,1.7207647843485996,5,0.11627906976744186
34,188058,Daniel Burn,2462,26,6,8,0,0,27.355555555555554,0.950446791226645,8,0.3076923076923077
35,188652, Allan,2186,30,22,7,1,0,24.288888888888888,1.2351326623970724,9,0.3
36,189982,Fabian Schär,2161,24,11,4,0,0,24.011111111111113,0.9995372512725589,4,0.16666666666666666
37,190666,Luke Ayling,2275,22,19,4,1,0,25.27777777777778,0.8703296703296703,6,0.2727272727272727
38,190851,Kenny McLean,2706,16,38,3,0,0,30.066666666666666,0.532150776053215,3,0.1875
39,191175,Adam Forshaw,1529,26,15,5,0,0,16.988888888888887,1.5304120340091565,5,0.19230769230769232
40,193869, Rodrigo,2270,21,30,9,0,0,25.22222222222222,0.8325991189427313,9,0.42857142857142855
