,match_id,date,referee,variable,value,venue,team_id,team_name,team_lineup
1,3905399,2022-07-17 09:30:00,Lukas Fähndrich,xG_for,0.75,H,9777,Servette,4 - 3 - 3
2,3905399,2022-07-17 09:30:00,Lukas Fähndrich,xGOT_for,0.58,H,9777,Servette,4 - 3 - 3
27,3905400,2022-07-17 09:30:00,Fedayi San,xG_for,2.12,H,7896,Lugano,4 - 3 - 3
28,3905400,2022-07-17 09:30:00,Fedayi San,xGOT_for,2.59,H,7896,Lugano,4 - 3 - 3
53,3905394,2022-07-24 09:30:00,,xG_for,0.98,H,9956,Grasshopper,3 - 1 - 4 - 2
54,3905394,2022-07-24 09:30:00,,xGOT_for,2.25,H,9956,Grasshopper,3 - 1 - 4 - 2
79,3905393,2022-07-16 11:00:00,Sandro Schärer,xG_for,1.68,H,10192,Young Boys,4 - 1 - 2 - 1 - 2
80,3905393,2022-07-16 11:00:00,Sandro Schärer,xGOT_for,3.65,H,10192,Young Boys,4 - 1 - 2 - 1 - 2
105,3905401,2022-07-16 13:30:00,,xG_for,1.13,H,7894,Winterthur,4 - 2 - 3 - 1
106,3905401,2022-07-16 13:30:00,,xGOT_for,2.57,H,7894,Winterthur,4 - 2 - 3 - 1
131,3905396,2022-07-23 13:30:00,,xG_for,1.72,H,10190,St. Gallen,4 - 3 - 3
132,3905396,2022-07-23 13:30:00,,xGOT_for,1.07,H,10190,St. Gallen,4 - 3 - 3
157,3905397,2022-07-23 11:00:00,Luca Piccolo,xG_for,0.96,H,10243,FC Zürich,4 - 4 - 2
158,3905397,2022-07-23 11:00:00,Luca Piccolo,xGOT_for,0.28,H,10243,FC Zürich,4 - 4 - 2
183,3905395,2022-07-24 07:15:00,Alessandro Dudic,xG_for,1.37,H,9931,Basel,4 - 2 - 3 - 1
184,3905395,2022-07-24 07:15:00,Alessandro Dudic,xGOT_for,1.61,H,9931,Basel,4 - 2 - 3 - 1
209,3905402,2022-07-24 09:30:00,,xG_for,1.15,H,10179,Sion,4 - 1 - 2 - 1 - 2
210,3905402,2022-07-24 09:30:00,,xGOT_for,0.98,H,10179,Sion,4 - 1 - 2 - 1 - 2
235,3905434,2022-08-06 11:00:00,Stefan Horisberger,xG_for,1.38,H,9777,Servette,4 - 1 - 4 - 1
236,3905434,2022-08-06 11:00:00,Stefan Horisberger,xGOT_for,1.67,H,9777,Servette,4 - 1 - 4 - 1
261,3905403,2022-07-30 11:00:00,,xG_for,1.93,H,10190,St. Gallen,4 - 1 - 2 - 1 - 2
262,3905403,2022-07-30 11:00:00,,xGOT_for,2.67,H,10190,St. Gallen,4 - 1 - 2 - 1 - 2
287,3905436,2022-07-31 09:30:00,,xG_for,3.16,H,10192,Young Boys,4 - 4 - 2
288,3905436,2022-07-31 09:30:00,,xGOT_for,1.92,H,10192,Young Boys,4 - 4 - 2
313,3905433,2022-08-06 13:30:00,,xG_for,1.52,H,9956,Grasshopper,3 - 1 - 4 - 2
314,3905433,2022-08-06 13:30:00,,xGOT_for,2.10,H,9956,Grasshopper,3 - 1 - 4 - 2
339,3905450,2022-07-30 13:30:00,,xG_for,1.15,H,10179,Sion,4 - 3 - 3
340,3905450,2022-07-30 13:30:00,,xGOT_for,0.79,H,10179,Sion,4 - 3 - 3
365,3905432,2022-08-07 07:15:00,Urs Schnyder,xG_for,1.16,H,10243,FC Zürich,3 - 1 - 4 - 2
366,3905432,2022-08-07 07:15:00,Urs Schnyder,xGOT_for,0.38,H,10243,FC Zürich,3 - 1 - 4 - 2
391,3905430,2022-08-07 09:30:00,,xG_for,1.3,H,7896,Lugano,3 - 5 - 1 - 1
392,3905430,2022-08-07 09:30:00,,xGOT_for,1.66,H,7896,Lugano,3 - 5 - 1 - 1
417,3905398,2022-08-10 12:00:00,Alessandro Dudic,xG_for,1.24,H,10199,Luzern,4 - 1 - 2 - 1 - 2
418,3905398,2022-08-10 12:00:00,Alessandro Dudic,xGOT_for,1.82,H,10199,Luzern,4 - 1 - 2 - 1 - 2
443,3905438,2022-08-14 07:15:00,Sandro Schärer,xG_for,0.79,H,7894,Winterthur,3 - 5 - 1 - 1
444,3905438,2022-08-14 07:15:00,Sandro Schärer,xGOT_for,1.67,H,7894,Winterthur,3 - 5 - 1 - 1
469,3905449,2022-08-14 09:30:00,Fedayi San,xG_for,1.15,H,10192,Young Boys,4 - 3 - 1 - 2
470,3905449,2022-08-14 09:30:00,Fedayi San,xGOT_for,1.72,H,10192,Young Boys,4 - 3 - 1 - 2
495,3905429,2022-08-13 11:00:00,Stefan Horisberger,xG_for,1.16,H,10179,Sion,4 - 3 - 3
496,3905429,2022-08-13 11:00:00,Stefan Horisberger,xGOT_for,1.31,H,10179,Sion,4 - 3 - 3
521,3905448,2022-08-27 11:00:00,Alain Bieri,xG_for,3.09,H,10199,Luzern,4 - 1 - 2 - 1 - 2
522,3905448,2022-08-27 11:00:00,Alain Bieri,xGOT_for,3.09,H,10199,Luzern,4 - 1 - 2 - 1 - 2
547,3905437,2022-07-31 09:30:00,,xG_for,1.11,H,7894,Winterthur,4 - 3 - 3
548,3905437,2022-07-31 09:30:00,,xGOT_for,1.62,H,7894,Winterthur,4 - 3 - 3
573,3905431,2022-08-07 09:30:00,,xG_for,1.26,H,9931,Basel,4 - 2 - 3 - 1
574,3905431,2022-08-07 09:30:00,,xGOT_for,1.44,H,9931,Basel,4 - 2 - 3 - 1
599,3905439,2022-08-13 13:30:00,Urs Schnyder,xG_for,1.82,H,10190,St. Gallen,4 - 3 - 3
600,3905439,2022-08-13 13:30:00,Urs Schnyder,xGOT_for,1.61,H,10190,St. Gallen,4 - 3 - 3
625,3905444,2022-08-28 09:30:00,Fedayi San,xG_for,2.27,H,10243,FC Zürich,3 - 1 - 4 - 2
