,season,date,league_id,league,team1,team2,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,importance1,importance2,score1,score2,xg1,xg2,nsxg1,nsxg2,adj_score1,adj_score2
2340,2022,2022-08-05,1845,German Bundesliga,Eintracht Frankfurt,Bayern Munich,68.47,91.75,0.135,0.6796,0.1854,0.99,2.41,32.6,71.9,1.0,6.0,0.83,4.5,0.65,2.72,1.05,5.96
2343,2022,2022-08-05,2411,Barclays Premier League,Crystal Palace,Arsenal,71.36,78.53,0.3159,0.4205,0.2636,1.16,1.39,22.8,48.6,0.0,2.0,1.3,1.36,1.4,2.41,0.0,1.72
2344,2022,2022-08-05,1843,French Ligue 1,Lyon,AC Ajaccio,72.03,51.39,0.6941,0.1222,0.1837,2.28,0.84,50.4,33.5,2.0,1.0,1.82,1.2,0.57,0.69,2.1,0.84
2360,2022,2022-08-06,2411,Barclays Premier League,Fulham,Liverpool,58.7,90.51,0.0926,0.7466,0.1607,0.71,2.38,39.7,68.2,2.0,2.0,1.25,2.57,0.78,1.41,2.1,2.1
2368,2022,2022-08-06,1845,German Bundesliga,Borussia Monchengladbach,TSG Hoffenheim,69.38,66.77,0.4872,0.2742,0.2386,1.87,1.35,40.2,33.3,3.0,1.0,1.86,0.1,2.51,0.31,2.36,1.05
2369,2022,2022-08-06,1845,German Bundesliga,VfL Bochum,Mainz,60.73,68.88,0.3568,0.3629,0.2803,1.28,1.29,33.5,34.5,1.0,2.0,1.0,1.62,0.96,0.86,1.05,2.1
2370,2022,2022-08-06,1845,German Bundesliga,FC Augsburg,SC Freiburg,60.93,67.94,0.3649,0.3662,0.2689,1.38,1.38,32.1,34.8,0.0,4.0,0.55,1.5,0.94,1.35,0.0,4.0
2371,2022,2022-08-06,1845,German Bundesliga,1. FC Union Berlin,Hertha Berlin,69.98,59.7,0.5479,0.186,0.2661,1.58,0.8,34.9,33.0,3.0,1.0,1.25,0.4,1.66,0.36,3.15,1.05
2372,2022,2022-08-06,1845,German Bundesliga,VfL Wolfsburg,Werder Bremen,68.18,59.82,0.5319,0.2014,0.2667,1.58,0.86,30.2,33.3,2.0,2.0,0.81,0.97,1.07,1.25,2.1,2.1
2381,2022,2022-08-06,2411,Barclays Premier League,AFC Bournemouth,Aston Villa,57.92,74.05,0.2719,0.4687,0.2594,1.06,1.48,40.2,28.8,2.0,0.0,0.49,0.68,0.79,1.95,1.84,0.0
2385,2022,2022-08-06,2411,Barclays Premier League,Newcastle,Nottingham Forest,68.65,57.31,0.5401,0.2045,0.2554,1.54,0.84,30.4,42.6,2.0,0.0,1.82,0.26,3.33,0.48,1.9,0.0
2401,2022,2022-08-06,2411,Barclays Premier League,Tottenham Hotspur,Southampton,81.87,61.33,0.7059,0.1182,0.1758,2.29,0.82,60.3,33.6,4.0,1.0,1.91,0.54,1.88,1.23,4.2,1.05
2413,2022,2022-08-06,2411,Barclays Premier League,Leeds United,Wolverhampton,62.15,67.72,0.3941,0.3456,0.2604,1.37,1.26,33.5,23.5,2.0,1.0,0.84,1.11,1.02,2.58,2.1,1.05
2419,2022,2022-08-06,1843,French Ligue 1,Strasbourg,AS Monaco,67.46,72.81,0.3761,0.3657,0.2582,1.42,1.4,42.4,54.8,1.0,2.0,1.18,2.34,1.46,1.81,1.05,2.1
2429,2022,2022-08-06,2411,Barclays Premier League,Everton,Chelsea,63.82,85.73,0.1763,0.6092,0.2145,0.94,1.94,28.5,57.5,0.0,1.0,0.5,2.12,0.95,1.36,0.0,1.05
2430,2022,2022-08-06,1845,German Bundesliga,Borussia Dortmund,Bayer Leverkusen,80.58,77.75,0.4972,0.2638,0.2389,1.87,1.31,65.8,59.2,1.0,0.0,2.06,1.32,1.63,1.08,1.05,0.0
2451,2022,2022-08-06,1843,French Ligue 1,Clermont Foot,Paris Saint-Germain,52.92,88.66,0.0904,0.7607,0.1489,0.82,2.66,37.1,64.8,0.0,5.0,0.26,4.21,0.58,3.09,0.0,4.58
2494,2022,2022-08-07,1843,French Ligue 1,Toulouse,Nice,52.71,64.57,0.34,0.3891,0.2709,1.24,1.35,38.4,24.9,1.0,1.0,1.49,0.76,1.0,1.37,1.05,1.05
2504,2022,2022-08-07,2411,Barclays Premier League,Leicester City,Brentford,71.24,68.58,0.4741,0.28,0.2458,1.61,1.18,25.1,19.8,2.0,2.0,0.6,1.05,0.82,0.42,2.1,2.1
2505,2022,2022-08-07,1843,French Ligue 1,Angers,Nantes,55.79,59.64,0.4085,0.3182,0.2732,1.36,1.17,33.6,27.0,0.0,0.0,2.06,1.16,1.58,0.83,0.0,0.0
2507,2022,2022-08-07,1843,French Ligue 1,Lille,Auxerre,68.72,51.71,0.6247,0.1455,0.2297,1.8,0.73,40.3,36.5,4.0,1.0,1.22,0.93,1.67,1.17,4.2,1.05
2508,2022,2022-08-07,1843,French Ligue 1,Lens,Brest,65.19,54.35,0.5533,0.2067,0.24,1.76,0.98,25.4,34.2,3.0,2.0,3.16,1.11,1.68,0.89,3.15,2.1
2511,2022,2022-08-07,2411,Barclays Premier League,Manchester United,Brighton and Hove Albion,75.25,73.74,0.4658,0.2826,0.2517,1.54,1.14,38.2,32.9,1.0,2.0,1.7,1.68,1.91,1.35,1.05,2.1
2512,2022,2022-08-07,1843,French Ligue 1,Montpellier,Troyes,52.99,54.68,0.4353,0.2932,0.2715,1.41,1.11,39.9,37.5,3.0,2.0,1.66,2.03,1.12,1.26,3.15,2.1
2514,2022,2022-08-07,1845,German Bundesliga,VfB Stuttgart,RB Leipzig,65.13,80.76,0.2474,0.504,0.2485,1.16,1.75,30.7,65.0,1.0,1.0,0.59,2.07,0.96,2.03,1.05,1.05
2526,2022,2022-08-07,1843,French Ligue 1,Stade Rennes,Lorient,70.49,53.6,0.6453,0.1433,0.2113,1.99,0.81,41.3,28.7,0.0,1.0,1.49,0.83,1.81,0.14,0.0,1.05
2528,2022,2022-08-07,2411,Barclays Premier League,West Ham United,Manchester City,70.62,92.31,0.1317,0.6905,0.1778,0.91,2.32,27.7,73.8,0.0,2.0,0.34,2.39,0.58,1.85,0.0,2.1
2531,2022,2022-08-07,1845,German Bundesliga,FC Cologne,Schalke 04,66.95,60.66,0.5111,0.2188,0.2701,1.55,0.91,28.9,31.9,3.0,1.0,3.9,0.27,3.24,0.45,2.32,1.05
2549,2022,2022-08-07,1843,French Ligue 1,Marseille,Reims,69.46,57.78,0.5842,0.1703,0.2454,1.69,0.78,42.0,28.4,4.0,1.0,2.67,0.79,1.19,1.39,3.55,1.05
2605,2022,2022-08-12,1845,German Bundesliga,SC Freiburg,Borussia Dortmund,69.9,80.83,0.307,0.4461,0.2469,1.4,1.73,50.3,64.1,1.0,3.0,0.93,0.82,1.6,1.54,1.05,2.69
