,minutes,touches,role,playerId,teamId,playerName,xGOT,goals_conceded,match_id,date,teamName
0,90,,Keeper,245555,10205,Geronimo Rulli,0.09,0,3629100,2021-08-16 20:00:00,Villarreal
1,90,,Keeper,534955,7878,Aaron Escandell,0.30,0,3629100,2021-08-16 20:00:00,Granada
2,90,,Keeper,486981,8385,Jeremias Ledesma,1.09,1,3629096,2021-08-14 19:30:00,Cadiz
3,90,,Keeper,213471,8581, Aitor,1.11,1,3629096,2021-08-14 19:30:00,Levante
4,90,,Keeper,948800,10267,Giorgi Mamardashvili,0.79,0,3629099,2021-08-13 21:00:00,Valencia
5,90,,Keeper,581919,8305,David Soria,1.17,1,3629099,2021-08-13 21:00:00,Getafe
6,90,,Keeper,114762,8661,Manolo Reina,0.38,1,3629095,2021-08-14 19:30:00,Mallorca
7,90,,Keeper,361717,8603,Rui Silva,1.29,1,3629095,2021-08-14 19:30:00,Real Betis
8,90,,Keeper,40672,10268,Francisco Casilla,0.45,0,3629101,2021-08-16 22:00:00,Elche
9,90,,Keeper,1280020,8315,Julen Agirrezabala,0.22,0,3629101,2021-08-16 22:00:00,Athletic Club
10,90,,Keeper,241059,9866,Fernando Pacheco,2.25,4,3629092,2021-08-14 22:00:00,Deportivo Alaves
11,90,,Keeper,170323,8633,Thibaut Courtois,1.23,1,3629092,2021-08-14 22:00:00,Real Madrid
12,90,,Keeper,683762,8371,Sergio Herrera,0.19,0,3629097,2021-08-14 22:00:00,Osasuna
13,90,,Keeper,592412,9910,Matias Dituro,2.49,2,3629094,2021-08-15 17:30:00,Celta Vigo
14,90,,Keeper,177126,9906,Jan Oblak,1.15,1,3629094,2021-08-15 17:30:00,Atletico Madrid
15,90,,Keeper,361717,8603,Rui Silva,1.35,1,3629107,2021-08-20 21:00:00,Real Betis
16,90,,Keeper,486981,8385,Jeremias Ledesma,2.01,1,3629107,2021-08-20 21:00:00,Cadiz
17,90,,Keeper,581919,8305,David Soria,0.60,1,3629108,2021-08-23 20:00:00,Getafe
18,90,,Keeper,340020,8302,Yassine Bounou,0,0,3629108,2021-08-23 20:00:00,Sevilla
19,90,,Keeper,280818,8302,Marko Dmitrovic,0.55,0,3629098,2021-08-15 22:15:00,Sevilla
20,16,,Keeper,770880,8370,Luca Zidane,3.47,0,3629098,2021-08-15 22:15:00,Rayo Vallecano
21,90,,Keeper,683762,8371,Sergio Herrera,0,0,3629112,2021-08-23 22:00:00,Osasuna
22,90,,Keeper,592412,9910,Matias Dituro,1.89,0,3629112,2021-08-23 22:00:00,Celta Vigo
23,90,,Keeper,176186,8634, Neto,1.96,2,3629093,2021-08-15 20:00:00,Barcelona
24,90,,Keeper,616539,8560,Alex Remiro,3.01,4,3629093,2021-08-15 20:00:00,Real Sociedad
25,90,,Keeper,41466,8558,Diego Lopez,0.16,0,3629110,2021-08-21 19:30:00,Espanyol
26,90,,Keeper,245555,10205,Geronimo Rulli,1.12,0,3629110,2021-08-21 19:30:00,Villarreal
27,90,,Keeper,534955,7878,Aaron Escandell,1.62,1,3629109,2021-08-21 19:30:00,Granada
28,90,,Keeper,948800,10267,Giorgi Mamardashvili,0.63,1,3629109,2021-08-21 19:30:00,Valencia
29,90,,Keeper,241059,9866,Fernando Pacheco,0.83,1,3629104,2021-08-21 17:00:00,Deportivo Alaves
30,90,,Keeper,114762,8661,Manolo Reina,0.70,0,3629104,2021-08-21 17:00:00,Mallorca
31,90,,Keeper,616539,8560,Alex Remiro,0.04,0,3629113,2021-08-22 17:00:00,Real Sociedad
32,90,,Keeper,254241,8370,Stole Dimitrievski,1.93,1,3629113,2021-08-22 17:00:00,Rayo Vallecano
33,87,,Keeper,213471,8581, Aitor,2.64,3,3629111,2021-08-22 22:00:00,Levante
34,90,,Keeper,170323,8633,Thibaut Courtois,1.67,3,3629111,2021-08-22 22:00:00,Real Madrid
35,90,,Keeper,177126,9906,Jan Oblak,0.11,0,3629106,2021-08-22 19:30:00,Atletico Madrid
36,90,,Keeper,40672,10268,Francisco Casilla,1.27,1,3629106,2021-08-22 19:30:00,Elche
37,90,,Keeper,1280020,8315,Julen Agirrezabala,0.61,1,3629105,2021-08-21 22:00:00,Athletic Club
38,90,,Keeper,176186,8634, Neto,1.51,1,3629105,2021-08-21 22:00:00,Barcelona
39,90,,Keeper,592412,9910,Matias Dituro,1.13,1,3629117,2021-08-28 17:00:00,Celta Vigo
40,90,,Keeper,660625,8315,Unai Simon,0,0,3629117,2021-08-28 17:00:00,Athletic Club
41,90,,Keeper,40672,10268,Francisco Casilla,0.49,1,3629123,2021-08-28 19:30:00,Elche
42,90,,Keeper,340020,8302,Yassine Bounou,0.26,1,3629123,2021-08-28 19:30:00,Sevilla
43,90,,Keeper,948800,10267,Giorgi Mamardashvili,0.31,0,3629121,2021-08-27 22:15:00,Valencia
44,90,,Keeper,241059,9866,Fernando Pacheco,2.93,3,3629121,2021-08-27 22:15:00,Deportivo Alaves
45,90,,Keeper,114762,8661,Manolo Reina,0.26,0,3629118,2021-08-27 20:00:00,Mallorca
46,90,,Keeper,41466,8558,Diego Lopez,1.63,1,3629118,2021-08-27 20:00:00,Espanyol
47,90,,Keeper,184554,8634,Marc-Andre ter Stegen,0.18,1,3629115,2021-08-29 17:00:00,Barcelona
48,90,,Keeper,581919,8305,David Soria,0.43,2,3629115,2021-08-29 17:00:00,Getafe
49,90,,Keeper,254241,8370,Stole Dimitrievski,0.40,0,3629122,2021-08-29 19:30:00,Rayo Vallecano
50,90,,Keeper,534955,7878,Aaron Escandell,2.02,4,3629122,2021-08-29 19:30:00,Granada
51,90,,Keeper,361717,8603,Rui Silva,0.55,1,3629116,2021-08-28 22:00:00,Real Betis
52,90,,Keeper,170323,8633,Thibaut Courtois,0.81,0,3629116,2021-08-28 22:00:00,Real Madrid
53,90,,Keeper,486981,8385,Jeremias Ledesma,2.63,3,3629119,2021-08-29 19:30:00,Cadiz
54,90,,Keeper,683762,8371,Sergio Herrera,1.51,2,3629119,2021-08-29 19:30:00,Osasuna
55,90,,Keeper,616539,8560,Alex Remiro,0,0,3629120,2021-08-28 19:30:00,Real Sociedad
56,90,,Keeper,1041445,8581,Dani Cárdenas,0.23,1,3629120,2021-08-28 19:30:00,Levante
57,90,,Keeper,660625,8315,Unai Simon,0.03,0,3629124,2021-09-11 21:00:00,Athletic Club
58,90,,Keeper,114762,8661,Manolo Reina,1.44,2,3629124,2021-09-11 21:00:00,Mallorca
59,90,,Keeper,213471,8581, Aitor,1.50,1,3629129,2021-09-11 18:30:00,Levante
60,90,,Keeper,254241,8370,Stole Dimitrievski,1.04,1,3629129,2021-09-11 18:30:00,Rayo Vallecano
61,90,,Keeper,592412,9910,Matias Dituro,1.72,2,3629138,2021-09-17 21:00:00,Celta Vigo
62,90,,Keeper,486981,8385,Jeremias Ledesma,0.71,1,3629138,2021-09-17 21:00:00,Cadiz
63,90,,Keeper,177126,9906,Jan Oblak,0.81,2,3629114,2021-08-29 22:00:00,Atletico Madrid
64,90,,Keeper,245555,10205,Geronimo Rulli,0.92,2,3629114,2021-08-29 22:00:00,Villarreal
65,90,,Keeper,777035,7878,Luis Maximiano,2.67,2,3629127,2021-09-13 22:00:00,Granada
66,90,,Keeper,361717,8603,Rui Silva,0.23,1,3629127,2021-09-13 22:00:00,Real Betis
67,90,,Keeper,41466,8558,Diego Lopez,0.81,2,3629128,2021-09-12 14:00:00,Espanyol
68,90,,Keeper,177126,9906,Jan Oblak,0.59,1,3629128,2021-09-12 14:00:00,Atletico Madrid
69,90,,Keeper,581919,8305,David Soria,1.09,1,3629125,2021-09-13 20:00:00,Getafe
70,90,,Keeper,40672,10268,Francisco Casilla,0.03,0,3629125,2021-09-13 20:00:00,Elche
71,90,,Keeper,486981,8385,Jeremias Ledesma,2.33,2,3629126,2021-09-12 18:30:00,Cadiz
72,90,,Keeper,616539,8560,Alex Remiro,0.06,0,3629126,2021-09-12 18:30:00,Real Sociedad
73,90,,Keeper,683762,8371,Sergio Herrera,1.81,4,3629130,2021-09-12 16:15:00,Osasuna
74,90,,Keeper,948800,10267,Giorgi Mamardashvili,0.71,1,3629130,2021-09-12 16:15:00,Valencia
75,90,,Keeper,170323,8633,Thibaut Courtois,1.93,2,3629131,2021-09-12 21:00:00,Real Madrid
76,90,,Keeper,592412,9910,Matias Dituro,5.24,5,3629131,2021-09-12 21:00:00,Celta Vigo
