,shot_id,event_type,team_id,player_id,player_name,shot_x,shot_y,min,min_added,is_blocked,is_on_target,blocked_x,blocked_y,goal_crossed_y,goal_crossed_z,xG,xGOT,shot_type,situation,period,is_own_goal,on_goal_x,on_goal_y,short_name
0,2443406693,AttemptSaved,8654,523825,Jarrod Bowen,95.9298245603,33.00875058174133,2,,True,True,99.01754385950001,33.00875,33.084999999999994,1.2199999940000001,0.17384019494056702,,LeftFoot,FromCorner,FirstHalf,False,55.89285714285722,14.239028874883287,
1,2443411697,AttemptSaved,8654,158545,Michail Antonio,96.9912265970607,38.70452509346489,2,,True,True,98.7280701752,37.94809524,37.12625,1.2456842044,0.08209025859832764,,LeftFoot,RegularPlay,FirstHalf,False,7.782738095238111,14.538797903828197,
2,2443406789,Miss,8654,158545,Michail Antonio,97.0877163528214,34.686251163482666,3,,False,False,,,30.34,3.3768275888,0.0908132791519165,,Header,FromCorner,FirstHalf,False,102.92972603080355,39.41208670401494,
3,2443411153,AttemptSaved,8456,169200,Kevin De Bruyne,81.47135750553443,22.668026016343568,9,,True,True,85.4941176464,24.2094267564,32.551249999999996,1.2199999940000001,0.019727230072021484,,LeftFoot,RegularPlay,FirstHalf,False,62.24702380952385,14.239028874883287,
4,2443414481,Miss,8456,169200,Kevin De Bruyne,90.69999694824219,25.12906205892563,14,,False,False,,,43.3701910778,0.2696842092,0.13896700739860535,,RightFoot,RegularPlay,FirstHalf,False,0.0,3.1475748039215685,
5,2443424217,Miss,8456,737066,Erling Braut Haaland,99.2105277880393,33.46624941825866,21,,False,False,,,43.5103184664,0.44305262940000006,0.3056436777114868,,Header,RegularPlay,FirstHalf,False,0.0,5.171015749299721,
6,2443429909,Goal,8456,737066,Erling Braut Haaland,94.0,34.0,36,,False,True,,,37.05,0.0834736838,0.7884,0.9951,LeftFoot,Penalty,FirstHalf,False,8.690476190476225,0.9742493440709616,
7,2443432867,AttemptSaved,8456,178818,Ilkay Gündogan,77.19175101133112,29.463570785767555,39,,True,True,88.28529411759999,30.328,32.70374999999999,1.2199999940000001,0.03552192449569702,,RightFoot,FreeKick,FirstHalf,False,60.43154761904771,14.239028874883287,
8,2443436851,Miss,8456,361757,Joao Cancelo,77.19175101133112,42.986563382148745,42,,False,False,,,41.425625,1.2456842044,0.022560060024261475,,RightFoot,RegularPlay,FirstHalf,False,0.0,14.538797903828197,
9,2443465823,Miss,8654,654096,Declan Rice,90.30000305175781,34.53375058174134,54,,False,False,,,35.75375,7.3566896704,0.054810285568237305,,RightFoot,RegularPlay,SecondHalf,False,108.43883442202386,85.8623911111111,
